"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"358",200912,"일반탄산음료",43,1518,1233,5,137391,216,9,NA,NA,"",""
"359",201001,"일반탄산음료",42,1463,1233,2,141145,792,11,NA,NA,"",""
"360",201002,"일반탄산음료",42,1336,1235,7,128528,4384,9,NA,NA,"",""
"361",201003,"일반탄산음료",41,1645,1240,10,145771,2940,9,NA,NA,"",""
"362",201004,"일반탄산음료",41,1979,1243,15,130412,5973,8,NA,NA,"",""
"363",201005,"일반탄산음료",43,2193,1229,23,143681,8656,12,NA,NA,"",""
"364",201006,"일반탄산음료",41,2366,1240,28,145035,6325,8,NA,NA,"",""
"365",201007,"일반탄산음료",42,2385,1246,29,148561,14930,9,NA,NA,"",""
"366",201008,"일반탄산음료",43,2561,1276,31,153056,30531,9,NA,NA,"",""
"367",201009,"일반탄산음료",43,2222,1264,27,147804,23150,11,NA,NA,"",""
"368",201010,"일반탄산음료",45,2276,1294,20,155952,1337,10,NA,NA,"",""
"369",201011,"일반탄산음료",45,1919,1288,13,154482,0,8,NA,NA,"",""
"370",201012,"일반탄산음료",40,1898,1308,5,161292,886,8,NA,NA,"",""
"371",201101,"일반탄산음료",40,1685,1308,-1,163610,82,10,NA,NA,"",""
"372",201102,"일반탄산음료",42,1648,1301,7,149737,5587,11,NA,NA,"",""
"373",201103,"일반탄산음료",40,2069,1308,10,169838,919,9,NA,NA,"",""
"374",201104,"일반탄산음료",43,2473,1363,17,167577,8244,9,NA,NA,"",""
"375",201105,"일반탄산음료",43,2626,1367,23,176452,7345,10,NA,NA,"",""
"376",201106,"일반탄산음료",43,2779,1356,27,173664,25001,9,NA,NA,"",""
"377",201107,"일반탄산음료",44,2717,1377,29,182676,43058,10,NA,NA,"",""
"378",201108,"일반탄산음료",45,2674,1373,29,186850,20554,9,NA,NA,"",""
"379",201109,"일반탄산음료",41,2879,1423,26,184270,5373,10,NA,NA,"",""
"380",201110,"일반탄산음료",41,2535,1421,20,194286,4146,11,NA,NA,"",""
"381",201111,"일반탄산음료",41,2322,1416,16,191703,10027,8,NA,NA,"",""
"382",201112,"일반탄산음료",41,2242,1401,5,201541,489,9,NA,NA,"",""
"383",201201,"일반탄산음료",40,2115,1421,3,203133,362,11,NA,NA,"",""
"384",201202,"일반탄산음료",41,1804,1430,5,186880,377,8,NA,NA,"",""
