"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"182",200902,"일반탄산음료",12,660,1533,9,113399,3014,8,NA,NA,"",""
"183",200903,"일반탄산음료",12,794,1554,12,129162,1383,9,NA,NA,"",""
"184",200904,"일반탄산음료",12,1119,1529,19,126277,3564,8,NA,NA,"",""
"185",200905,"일반탄산음료",12,1524,1529,25,129584,9288,12,NA,NA,"",""
"186",200906,"일반탄산음료",13,1480,1488,27,123218,9998,8,NA,NA,"",""
"187",200907,"일반탄산음료",15,1509,1490,28,131083,17405,8,NA,NA,"",""
"188",200908,"일반탄산음료",15,1876,1490,29,130040,7704,10,NA,NA,"",""
"189",200909,"일반탄산음료",15,1534,1490,27,131989,4096,8,NA,NA,"",""
"190",200910,"일반탄산음료",15,1218,1490,22,136095,2824,10,NA,NA,"",""
"191",200911,"일반탄산음료",15,738,1490,12,136152,3684,9,NA,NA,"",""
"192",200912,"일반탄산음료",15,686,1490,5,137391,216,9,NA,NA,"",""
"193",201001,"일반탄산음료",13,676,1488,2,141145,792,11,NA,NA,"",""
"194",201002,"일반탄산음료",13,748,1519,7,128528,4384,9,NA,NA,"",""
"195",201003,"일반탄산음료",15,986,1490,10,145771,2940,9,NA,NA,"",""
"196",201004,"일반탄산음료",17,1080,1447,15,130412,5973,8,NA,NA,"",""
"197",201005,"일반탄산음료",17,2537,1447,23,143681,8656,12,NA,NA,"",""
"198",201006,"일반탄산음료",17,2050,1447,28,145035,6325,8,NA,NA,"",""
"199",201007,"일반탄산음료",17,2218,1462,29,148561,14930,9,NA,NA,"",""
"200",201008,"일반탄산음료",16,2467,1459,31,153056,30531,9,NA,NA,"",""
"201",201009,"일반탄산음료",16,2036,1459,27,147804,23150,11,NA,NA,"",""
"202",201010,"일반탄산음료",16,1470,1459,20,155952,1337,10,NA,NA,"",""
"203",201011,"일반탄산음료",16,1138,1459,13,154482,0,8,NA,NA,"",""
"204",201012,"일반탄산음료",16,877,1459,5,161292,886,8,NA,NA,"",""
"205",201101,"일반탄산음료",16,729,1459,-1,163610,82,10,NA,NA,"",""
"206",201102,"일반탄산음료",16,939,1478,7,149737,5587,11,NA,NA,"",""
"207",201103,"일반탄산음료",16,1241,1534,10,169838,919,9,NA,NA,"",""
"208",201104,"일반탄산음료",16,1457,1534,17,167577,8244,9,NA,NA,"",""
"209",201105,"일반탄산음료",16,2285,1534,23,176452,7345,10,NA,NA,"",""
"210",201106,"일반탄산음료",16,2015,1550,27,173664,25001,9,NA,NA,"",""
"211",201107,"일반탄산음료",18,2253,1528,29,182676,43058,10,NA,NA,"",""
"212",201108,"일반탄산음료",18,2930,1528,29,186850,20554,9,NA,NA,"",""
"213",201109,"일반탄산음료",18,2264,1528,26,184270,5373,10,NA,NA,"",""
"214",201110,"일반탄산음료",17,1610,1576,20,194286,4146,11,NA,NA,"",""
"215",201111,"일반탄산음료",17,1216,1576,16,191703,10027,8,NA,NA,"",""
"216",201112,"일반탄산음료",17,934,1576,5,201541,489,9,NA,NA,"",""
"217",201201,"일반탄산음료",17,1013,1576,3,203133,362,11,NA,NA,"",""
"218",201202,"일반탄산음료",17,929,1576,5,186880,377,8,NA,NA,"",""
"219",201203,"일반탄산음료",19,1171,1553,11,212945,6556,10,NA,NA,"",""
"220",201204,"일반탄산음료",19,2306,1553,18,209151,17042,9,NA,NA,"",""
"221",201205,"일반탄산음료",18,3671,1544,24,215673,2095,10,NA,NA,"",""
"222",201206,"일반탄산음료",20,2838,1530,28,215525,8865,10,NA,NA,"",""
"223",201207,"일반탄산음료",20,3016,1530,29,203590,25076,9,NA,NA,"",""
"224",201208,"일반탄산음료",20,3241,1530,30,228142,32385,9,NA,NA,"",""
"225",201209,"일반탄산음료",20,2598,1560,25,223581,23569,10,NA,NA,"",""
"226",201210,"일반탄산음료",19,2252,1600,21,233331,11111,10,NA,NA,"",""
"227",201211,"일반탄산음료",19,1069,1600,11,229144,4805,8,NA,NA,"",""
"228",201212,"일반탄산음료",18,882,1603,2,239129,3706,11,NA,NA,"",""
"229",201301,"일반탄산음료",18,1199,1625,2,240416,2528,9,NA,NA,"",""
"230",201302,"일반탄산음료",18,955,1625,5,217015,6667,9,NA,NA,"",""
"231",201303,"일반탄산음료",17,1895,1668,12,243648,4364,11,NA,NA,"",""
"232",201304,"일반탄산음료",18,1797,1631,15,237340,6727,8,NA,NA,"",""
"233",201305,"일반탄산음료",20,2705,1613,23,245068,17217,10,NA,NA,"",""
"234",201306,"일반탄산음료",21,3282,1626,28,236180,7360,11,NA,NA,"",""
"235",201307,"일반탄산음료",22,2972,1661,29,241687,41344,8,NA,NA,"",""
"236",201308,"일반탄산음료",23,4194,1657,31,240142,22284,10,NA,NA,"",""
"237",201309,"일반탄산음료",24,2476,1685,26,231662,13699,12,NA,NA,"",""
"238",201310,"일반탄산음료",23,1947,1693,21,239981,3011,10,NA,NA,"",""
"239",201311,"일반탄산음료",23,1233,1693,12,232854,2944,9,NA,NA,"",""
"240",201312,"일반탄산음료",23,1182,1693,5,240458,202,10,NA,NA,"",""
"241",201003,"일반탄산음료",1,24,1000,10,145771,2940,9,NA,NA,"",""
"242",201004,"일반탄산음료",2,193,1000,15,130412,5973,8,NA,NA,"",""
"243",201005,"일반탄산음료",4,374,850,23,143681,8656,12,NA,NA,"",""
"244",201006,"일반탄산음료",4,584,850,28,145035,6325,8,NA,NA,"",""
"245",201007,"일반탄산음료",4,542,850,29,148561,14930,9,NA,NA,"",""
"246",201008,"일반탄산음료",4,511,850,31,153056,30531,9,NA,NA,"",""
"247",201009,"일반탄산음료",4,348,850,27,147804,23150,11,NA,NA,"",""
"248",201010,"일반탄산음료",4,116,850,20,155952,1337,10,NA,NA,"",""
"249",201011,"일반탄산음료",3,238,800,13,154482,0,8,NA,NA,"",""
"250",201012,"일반탄산음료",3,222,800,5,161292,886,8,NA,NA,"",""
"251",201101,"일반탄산음료",1,185,1000,-1,163610,82,10,NA,NA,"",""
"252",201102,"일반탄산음료",1,207,1000,7,149737,5587,11,NA,NA,"",""
"253",201103,"일반탄산음료",1,261,1000,10,169838,919,9,NA,NA,"",""
"254",201104,"일반탄산음료",1,340,1000,17,167577,8244,9,NA,NA,"",""
"255",201105,"일반탄산음료",3,75,1333,23,176452,7345,10,NA,NA,"",""
"256",201106,"일반탄산음료",3,119,1333,27,173664,25001,9,NA,NA,"",""
"257",201107,"일반탄산음료",3,412,1333,29,182676,43058,10,NA,NA,"",""
"258",201108,"일반탄산음료",4,200,1725,29,186850,20554,9,NA,NA,"",""
"259",201109,"일반탄산음료",4,467,1725,26,184270,5373,10,NA,NA,"",""
"260",201110,"일반탄산음료",4,562,1725,20,194286,4146,11,NA,NA,"",""
"261",201111,"일반탄산음료",4,438,1725,16,191703,10027,8,NA,NA,"",""
"262",201112,"일반탄산음료",4,514,1725,5,201541,489,9,NA,NA,"",""
"263",201201,"일반탄산음료",4,386,1725,3,203133,362,11,NA,NA,"",""
"264",201202,"일반탄산음료",5,435,1660,5,186880,377,8,NA,NA,"",""
"265",201203,"일반탄산음료",5,732,1660,11,212945,6556,10,NA,NA,"",""
"266",201204,"일반탄산음료",4,1183,1350,18,209151,17042,9,NA,NA,"",""
"267",201205,"일반탄산음료",6,1428,1633,24,215673,2095,10,NA,NA,"",""
"268",201206,"일반탄산음료",7,1573,1543,28,215525,8865,10,NA,NA,"",""
"269",201207,"일반탄산음료",7,1825,1543,29,203590,25076,9,NA,NA,"",""
"270",201208,"일반탄산음료",7,2425,1543,30,228142,32385,9,NA,NA,"",""
"271",201209,"일반탄산음료",9,2601,1522,25,223581,23569,10,NA,NA,"",""
"272",201210,"일반탄산음료",10,2455,1560,21,233331,11111,10,NA,NA,"",""
"273",201211,"일반탄산음료",11,1774,1555,11,229144,4805,8,NA,NA,"",""
"274",201212,"일반탄산음료",12,1521,1508,2,239129,3706,11,NA,NA,"",""
"275",201301,"일반탄산음료",12,1246,1508,2,240416,2528,9,NA,NA,"",""
"276",201302,"일반탄산음료",12,951,1433,5,217015,6667,9,NA,NA,"",""
"277",201303,"일반탄산음료",16,1593,1569,12,243648,4364,11,NA,NA,"",""
"278",201304,"일반탄산음료",17,1935,1535,15,237340,6727,8,NA,NA,"",""
"279",201305,"일반탄산음료",17,2073,1535,23,245068,17217,10,NA,NA,"",""
"280",201306,"일반탄산음료",17,2169,1594,28,236180,7360,11,NA,NA,"",""
"281",201307,"일반탄산음료",17,2606,1594,29,241687,41344,8,NA,NA,"",""
"282",201308,"일반탄산음료",17,2256,1459,31,240142,22284,10,NA,NA,"",""
"283",201309,"일반탄산음료",17,2254,1488,26,231662,13699,12,NA,NA,"",""
"284",201310,"일반탄산음료",18,1981,1567,21,239981,3011,10,NA,NA,"",""
"285",201311,"일반탄산음료",18,1082,1567,12,232854,2944,9,NA,NA,"",""
